Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
14:50:19.398658,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.399563,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.39961,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.399687,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.400006,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.400102,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.402371,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.403062,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.40321,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.408291,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.408337,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.408755,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.408946,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.413468,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.413883,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.414005,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.414277,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.414298,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.424081,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.424118,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.424246,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.425731,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.426381,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.426459,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.426823,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.426883,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.432439,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.432897,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.432989,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.433265,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.433397,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.443913,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.444411,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.444499,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.444893,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.444954,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.449302,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.452014,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.452161,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.456188,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.456818,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.456862,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.457609,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.45778,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.458438,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.458482,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.459101,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.459186,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.459682,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.459742,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.461735,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.462205,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.462386,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.469376,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.470061,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.470183,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.486588,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.487067,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.487099,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.487473,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.487542,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.487919,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.488043,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.488311,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.488388,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.488946,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.48908,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.489183,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.489286,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.489648,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.489666,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.490043,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.490058,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.49061,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.490731,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.49094,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.490993,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.492073,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.492559,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.492626,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.492885,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.492901,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.503208,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.503818,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.503918,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.5043,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.504893,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.518959,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.518959,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.519057,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.519083,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.519289,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.525088,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.525243,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.527753,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.528503,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.528533,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.530241,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.530298,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.530326,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.530391,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.530528,115.113.240.203,10.0.2.15,1514,443,41438
14:50:19.530631,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.530686,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.534788,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.534832,115.113.240.203,10.0.2.15,1514,443,41438
14:50:19.534852,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.535013,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.535189,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.535567,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.535662,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.540227,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.541473,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.541574,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.541683,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.541929,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.542086,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.559253,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.5593,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.559798,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.559888,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.578564,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.579136,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.579353,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.581514,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.581595,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.581602,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.581763,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.59395,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.59395,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.594077,10.0.2.15,115.113.240.203,54,41438,443
