Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
18:24:12.332214,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.332584,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.332633,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.33302,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.333213,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.333308,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.333361,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.33351,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.333535,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.333535,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.333585,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.333706,115.113.240.229,10.0.2.15,1514,443,58992
18:24:12.333871,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.333999,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.334251,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.334461,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.334653,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.334653,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.334751,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.334834,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.334957,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.334971,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.335028,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.335114,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.335254,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.335462,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.335462,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.335831,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.336324,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.33657,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.336626,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.336738,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.336773,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.336943,115.113.240.229,10.0.2.15,1600,443,58992
