SequenceNumber,RequestTime,ReplyTime,RequestSourceIP,RequestDestIP,ReplySourceIP,ReplyDestIP,ReplyTTLexpiredIP,TTL,Download/Upload/Idle
3770,21:22:46.763996,21:22:46.770102,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4378,21:23:16.047474,21:23:16.090445,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3798,21:22:47.89079,21:22:47.910041,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3997,21:22:57.436937,21:22:57.531746,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
3881,21:22:51.834885,21:22:51.878076,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3907,21:22:53.178902,21:22:53.251406,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3908,21:22:53.404469,21:22:53.434635,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4121,21:23:07.286255,21:23:07.412042,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4225,21:23:10.89841,21:23:10.902292,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4255,21:23:11.843913,21:23:11.846461,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3771,21:22:46.764263,21:22:46.770102,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3788,21:22:47.466301,21:22:47.505869,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4346,21:23:15.039205,21:23:15.041657,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4399,21:23:17.08411,21:23:17.086263,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4324,21:23:14.192415,21:23:14.198518,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4376,21:23:15.969157,21:23:15.977899,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4008,21:22:58.096042,21:22:58.216758,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4224,21:23:10.898397,21:23:10.901913,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4060,21:23:02.273966,21:23:02.411445,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4094,21:23:05.068706,21:23:05.354827,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4137,21:23:07.950712,21:23:08.00679,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
